Title,Year,Source title,topic
Transformer Ensemble Approach to Five-Point Sentiment Analysis in TripAdvisor Reviews,2026,Lecture Notes in Networks and Systems,2
How customer expectations drive loyalty to food delivery app brands,2025,International Journal of Electronic Marketing and Retailing,13
Exploring motivational drivers of AI chatbot adoption in emerging markets: insights from the stimulus-organism-response model for service automation,2026,Bottom Line,0
When to Buy: The Impact of Temporal Perspective on Predicting Price Increases or Decreases for Immediate Purchasing Decisions,2025,Journal of Travel Research,-1
A magical cruise journey: service robots for entertainment on board,2025,Journal of Hospitality and Tourism Technology,1
Simulation Modeling,2025,Theories and Models in Tourism and Hospitality Research,0
The digital tightrope: balancing value and ethics in hotel transformation,2026,Journal of Hospitality and Tourism Technology,0
Finance and beyond: Self-service transformation case studies,2025,Practical Applications of Self-Service Technologies Across Industries,0
A Review on Translating Heritage Symbolism in Heritage Eco-Resorts,2025,Lecture Notes in Civil Engineering,-1
Views of Douro Valley Visitors Regarding the Caliber of Services: Learning About the Hospitality Industry Through Text,2025,"Advances in Science, Technology and Innovation",7
"Artificial intelligence, virtual and augmented reality, social media, online reviews, and influencers: a review of how service businesses use promotional devices and future research directions",2025,International Journal of Advertising,0
AI-Augmented Staff Scheduling for Personalized Guest Experiences in Luxury Cruise Tourism,2025,"Proceedings of International Conference on Digital Innovations for Sustainable Solutions, ICDISS 2025",0
Exploring Sustainability Practices and Perceptions in the Hotel Industry: Evidence from Online Customer Reviews,2025,"Smart Innovation, Systems and Technologies",8
Consumer acceptance of robotic services in tourism,2025,International Journal of Services Operations and Informatics,1
Virtual Travel Experience and Destination Marketing: Do Well-Crafted Contents of Virtual Reality Matter for Authentic Customer Experience and User Satisfaction?,2025,Tourism,4
The algorithmic guest: AI as a co-creator in customer experience management,2026,International Journal of Contemporary Hospitality Management,0
"Effects of Japanese ryokan photographs on attributes perception, values and purchase intention",2026,Consumer Behavior in Tourism and Hospitality,-1
Value reciprocity mechanism in hotels: testing customer participation behaviour and value co-creation as mediators and previous experience as a moderator,2025,Journal of Hospitality and Tourism Insights,3
Reconceptualizing customer experience co-creation and service delivery in the age of artificial intelligence,2026,Journal of Hospitality Marketing and Management,0
Materiality Matters: Data-Driven Interiors for Hospitality Design Optimization,2026,Springer Proceedings in Business and Economics,-1
A Duo-Decade of Research on Electronic Word of Mouth to Identify Future Research Directions,2025,Journal of Information and Knowledge Management,-1
From Room Service to Green Service: How Hospitality Robots Can Redefine Luxury Through Sustainability,2026,"Robotics in Hotel Services: Housekeeping, Reception, and Concierge Services",1
Data-Driven Hyper-Personalization and Innovations in Services of the B2B Hospitality industry: Enhanced Customer Experiences Through AI and Collaborations,2025,Addressing Contemporary Challenges in the B2B Hospitality Sector,0
The Role of Online Ordering Platforms on Sales of Restaurants and Takeaways in the UK,2026,"Studies in Systems, Decision and Control",-1
"Dining with robots: An integrated perspective on functional, emotional and relational dimensions of customer experience",2025,Electronic Markets,1
Where to position sustainability? Effects of sustainability positioning on customer emotional attachment and citizenship behavior,2026,Journal of Foodservice Business Research,8
"Digital disruption in hospitality, AI and emerging technologies: A roadmap to personalized experiences, enhanced operations, and revenue growth",2025,"Digital Disruption in Hospitality, AI and Emerging Technologies: A Roadmap to Personalized Experiences, Enhanced Operations, and Revenue Growth",0
Harnessing Big Data Analytics for Sustainable Innovation in Green Guesthouses,2026,Springer Proceedings in Business and Economics,-1
Employee–customer relationships: facilitator or barrier for the integration of service robots in frontline service environments,2025,Journal of Service Management,1
Exploring the Impact of Virtual Reality Technology on Tourist Experiences: A Case Study of Hospitality in India,2025,Tourism and Hospitality Management - A Modern Fusion of Sectors,4
Retail service management. A culturalist perspective on the Japanese konbini model; [Management du service dans le commerce de détail. Une lecture culturaliste du modèle japonais des konbinis],2025,Revue Europeenne d' Economie et Management des Services,-1
Fair enough? The unintended consequences of service robot social presence for customer fairness perception in hospitality industry,2026,International Journal of Hospitality Management,1
Addressing Contemporary Challenges in the B2B Hospitality Sector,2025,Addressing Contemporary Challenges in the B2B Hospitality Sector,-1
ATMs to AI: The evolution of self-service technology in retail and beyond,2025,Practical Applications of Self-Service Technologies Across Industries,0
Evaluating Customer Experience with Service Robots in the Hospitality Industry: Some Evidence from Spain,2026,International Journal of Social Robotics,1
Human–robot interaction attributes at the restaurants: will it enhance revisit intentions?,2025,Journal of Hospitality and Tourism Technology,1
Multidimensional ergonomic latent modeling of prefabricated adaptive decoration by robotic 3D printing,2026,Humanities and Social Sciences Communications,1
Decoding customer satisfaction in Michelin Green Star restaurants: BERTopic modelling and sentiment analysis,2025,British Food Journal,-1
Surplus food commercialization in China: an attitude-behaviour-context based strategy for food waste reduction in the retail and hospitality sectors,2025,British Food Journal,5
Corporate social responsibility and brand love: attractiveness and authenticity,2026,Management Decision,3
Child-Friendly Hospitality as a Service Ecosystem: Insights from Online Family Vacation Narratives,2026,SAGE Open,-1
"Prospects and Challenges for AI and Technological Innovation in the European Travel and Tourism Sector: Impact, Effect and Sustainable Development Goals",2025,Technological Innovation and AI for Sustainable Development in Events and Festivals,0
Virtual reality vs traditional previews: the role of self-construal in customer decision-making,2025,International Journal of Contemporary Hospitality Management,4
Planetary Health Diet in a hospital cafeteria: Increasing employee satisfaction and reducing greenhouse gas emissions and costs; [Planetary Health Diet in einer Klinikumscafeteria: Steigerung der Mitarbeitendenzufriedenheit und Reduktion von Treibhausgasemissionen und Kosten],2025,"Zeitschrift fur Evidenz, Fortbildung und Qualitat im Gesundheitswesen",-1
Bridging the Attitude–Behavior Gap in Sustainable Tourism: An Extended TPB Model of Green Hotel Purchase Intentions,2025,Tourism and Hospitality,8
Integrating Tradition and Innovation within Tourism and Hospitality Experience,2025,Tourism and Hospitality Management - A Modern Fusion of Sectors,-1
"Immersion in tourism, hospitality and events: An integrative systematic review and future research agenda",2026,Tourism Management Perspectives,4
Detecting Implicit Aspects of Customer Experience in the Hotel Industry Using a Machine Learning Algorithm,2025,Communications in Computer and Information Science,2
Conceptualizing blockchain in tourism consumer experience: implications for tourism marketing,2025,"Global Knowledge, Memory and Communication",-1
Modeling customer choice behavior in hotel blind-box consumption,2025,International Journal of Contemporary Hospitality Management,-1
Promotional Speech Acts in Digital Fashion Retail: An Empirical Study of Consumer Purchase Intentions in Indonesia,2026,Theory and Practice in Language Studies,-1
E-Servicescape and Consumer Perception: Evidence from Sharing Economy Online Platforms in Hospitality,2026,Tourism and Hospitality,-1
"Trust, Try, Buy, and Belong: How Does AI Create a Loyalty Loop in Hotels?",2025,Tourism and Hospitality,0
Role of company actions to address customer boycotting of franchise brands,2026,Current Issues in Tourism,-1
