"Espacenet";"";"";"";"";"";"";"";"";
"Patent search";"";"";"";"";"";"";"";"";
"874 results found for My patents";"";"";"";"";"";"";"";"";
"Results 1 to 874 displayed";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"Sort by: Relevance";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"427";"METHOD AND APPARATUS FOR DIALOGUE";"ZHANG JINGHAN [CN]";"BEIJING BAIDU NETCOM SCI & TECH CO LTD [CN]";"US2025013679A1";"2024-07-25";"G06F16/33 
G06F16/335";"G06F16/3329 (CN) 
G06F16/3344 (US) 
G06F16/3349 (US) 
G06F16/337 (US) 
G06F16/90332 (EP) 
G06N3/006 (CN)";"2025-01-09";"2024-11-19";"093449980";
"428";"Intelligent operation system of cross-border e-commerce platform";"HAN BEIBEI 
YAO DAN";"SCIENCE AND TECHNOLOGY COLLEGE OF HUBEI UNIV OF ARTS AND SCIENCE";"CN118982402A";"2024-07-20";"G06N3/044 
G06N3/0442 
G06N3/045 
G06Q10/0875 
G06Q30/01 
G06Q30/0251 
G06Q30/0601";"G06N3/044 (CN) 
G06N3/0442 (CN) 
G06N3/045 (CN) 
G06Q10/0875 (CN) 
G06Q30/01 (CN) 
G06Q30/0255 (CN) 
G06Q30/0623 (CN) 
G06Q30/0631 (CN)";"2024-11-19";"2024-11-19";"093451485";
"429";"Feedback processing method and device, electronic equipment and storage medium";"LI XIANGRUI";"BEIJING BAIDU NETCOM SCI & TECH CO LTD";"CN119003796A";"2024-07-26";"G06F16/35 
G06F16/36 
G06F16/38";"G06F16/35 (CN) 
G06F16/36 (CN) 
G06F16/38 (CN)";"2024-11-22";"2024-11-22";"093482257";
"430";"Financial data management method and system based on artificial intelligence";"ZHANG JIANFENG 
KANG XIWEI";"SHENZHEN HEHE XINNUO BIG DATA TECH CO LTD";"CN119004339A 
CN119004339B";"2024-10-18";"G06F18/213 
G06F18/23 
G06F18/2431 
G06F18/2433 
G06N20/20 
G06N5/01 
G06Q40/00";"G06F18/213 (CN) 
G06F18/23 (CN) 
G06F18/24323 (CN) 
G06F18/2433 (CN) 
G06N20/20 (CN) 
G06N5/01 (CN) 
G06Q40/00 (CN) 
Y02D10/00 (EP)";"2024-11-22 
2024-12-27";"2024-11-22";"093490849";
"431";"Video generation method and device, electronic equipment and storage medium";"WANG KAISIYUAN 
YANG QUANWEI 
ZHOU HANG 
FENG HAOCHENG";"BEIJING BAIDU NETCOM SCI & TECH CO LTD";"CN119031203A";"2024-09-10";"G06V40/10 
G06V40/16 
H04N21/234 
H04N21/2343 
H04N21/44 
H04N21/4402 
H04N21/81";"G06V40/117 (CN) 
G06V40/171 (CN) 
H04N21/23418 (CN) 
H04N21/2343 (CN) 
H04N21/44008 (CN) 
H04N21/4402 (CN) 
H04N21/81 (CN) 
H04N21/8146 (CN) 
H04N21/816 (CN)";"2024-11-26";"2024-11-26";"093527067";
"432";"Video generation method and device, electronic equipment and storage medium";"WANG KAISIYUAN 
GUAN JIAZHI 
ZHOU HANG 
FENG HAOCHENG";"BEIJING BAIDU NETCOM SCI & TECH CO LTD";"CN119031204A 
CN119031204B";"2024-09-10";"G06V40/10 
G06V40/16 
H04N21/234 
H04N21/2343 
H04N21/44 
H04N21/4402 
H04N21/81";"G06V40/117 (CN) 
G06V40/171 (CN) 
H04N21/23418 (CN) 
H04N21/2343 (CN) 
H04N21/44008 (CN) 
H04N21/4402 (CN) 
H04N21/81 (CN) 
H04N21/8146 (CN) 
H04N21/816 (CN)";"2024-11-26 
2026-03-03";"2024-11-26";"093539120";
"433";"SYSTEMS AND METHODS FOR DOMAIN-SPECIFIC ARTIFICIAL INTELLIGENCE-BASED ASSISTANCE";"CHAU TOBY [US] 
CHAU AIDAN [US]";"CHAU TOBY [US] 
CHAU AIDAN [US]";"WO2024243376A1";"2023-05-23";"G06F40/10 
G06F40/216 
G06F40/35 
G06F40/56 
G06N3/08 
G10L13/08 
G10L15/18 
G06N20/00 
G10L15/02 
G10L15/22 
G10L25/87";"G06F40/35 (EP) 
G06N3/044 (EP) 
G06N3/08 (EP) 
G10L13/027 (EP) 
G10L15/22 (EP) 
G06N20/00 (EP) 
G10L25/63 (EP)";"2024-11-28";"2024-11-28";"093589722";
"434";"METHODS AND SYSTEMS FOR USING AVATARS AND A SIMULATED CITYSCAPE TO PROVIDE VIRTUAL MARKETPLACE FUNCTIONS";"ARMSTRONG MICHELLE [US]";"TAG MULTIMEDIA LLC [US]";"US2024394788A1";"2021-06-14";"G06N5/022 
G06Q30/0601";"G06N20/00 (EP) 
G06N3/006 (EP) 
G06N5/022 (EP,US) 
G06Q30/0643 (EP,US)";"2024-11-28";"2024-11-28";"093565005";
"435";"USING ARTIFICIAL INTELLIGENCE TO MAP DATA SCHEMAS";"CROMBIE STEVEN [US] 
DINARDO JOSEPH [US] 
JASKELEVICUS MICHAEL [US]";"SYNDIC8 DMS LLC [US]";"WO2024249324A2 
WO2024249324A3";"2023-05-26";"G06F16/11 
G06F16/21 
G06F40/30 
G06F7/00 
G06N20/00 
G06F8/40";"G06N20/00 (EP) 
G06Q30/0601 (EP) 
G06Q30/0613 (EP)";"2024-12-05 
2025-02-06";"2024-12-05";"093658866";
"436";"Information processing method and device and electronic equipment";"DONG LIANG 
ZHU XIAOLU 
CHANG YING 
LI XUAN 
XING HONGLI 
ZHOU CONGLIANG 
WANG RUIFENG";"BEIJING BAIDU NETCOM SCI & TECH CO LTD";"CN119089010A";"2024-08-13";"G06F16/532 
G06F16/583 
G06F16/9032 
G06V10/22 
G06V20/60";"G06F16/532 (CN) 
G06F16/583 (CN) 
G06F16/90324 (CN) 
G06F16/90332 (CN) 
G06V10/235 (CN) 
G06V20/60 (CN)";"2024-12-06";"2024-12-06";"093661413";
"437";"Resource recommendation method and device based on large model, intelligent agent, electronic equipment and storage medium";"QIN SHOUKE 
ZHOU YUAN 
LU YUQI 
LI SHANTAO 
GU ZHENGDONG 
ZHENG YUHANG 
WANG CHAOXU 
LIU HUIJIE 
ZENG KANG 
ZHAO ZIHAN 
XING ZHIHAO 
WU ZONGGANG 
SHAO YUANHUA";"BEIJING BAIDU NETCOM SCI & TECH CO LTD";"CN119089047A";"2024-09-13";"G06F16/9535";"G06F16/9535 (CN)";"2024-12-06";"2024-12-06";"093698811";
"438";"Large model resource allocation method and device, equipment and medium";"CAO BIN 
HUANG CHUAN 
CHEN JUNHONG";"BEIJING BAIDU NETCOM SCI & TECH CO LTD";"CN119094472A";"2024-08-09";"H04L47/72 
H04L47/78";"H04L47/72 (CN) 
H04L47/78 (CN)";"2024-12-06";"2024-12-06";"093663912";
"439";"Data auditing method, device and equipment, medium and program product";"ZHANG MINGHAO 
LIU QINGBIN 
LI LILI 
YANG YUTING 
CHENG SIYUAN 
HAO YANCHAO 
CHEN XI";"TENCENT TECH SHENZHEN CO LTD";"CN119090517A";"2024-08-28";"G06F18/214 
G06N3/084 
G06N3/0895 
G06Q30/018 
G06Q30/0601";"G06F18/214 (CN) 
G06N3/084 (CN) 
G06N3/0895 (CN) 
G06Q30/018 (CN) 
G06Q30/0609 (CN)";"2024-12-06";"2024-12-06";"093691943";
"440";"Task processing method and device of agent based on large language model, electronic equipment, medium and program product";"LIU YUAN";"BEIJING BAIDU NETCOM SCI & TECH CO LTD";"CN119090007A";"2024-08-13";"G06F16/33 
G06F16/332 
G06N3/006 
G06N5/04";"G06F16/3329 (CN) 
G06F16/3332 (CN) 
G06F16/3335 (CN) 
G06F16/3343 (CN) 
G06N3/006 (CN) 
G06N5/041 (CN)";"2024-12-06";"2024-12-06";"093659437";
"441";"Content generation method and device, electronic equipment and storage medium";"WANG HAIYU 
XU PEIZHI";"BEIJING BAIDU NETCOM SCI & TECH CO LTD";"CN119089871A";"2024-09-11";"G06F40/166";"G06F40/166 (CN)";"2024-12-06";"2024-12-06";"093660074";
"442";"An artificial intelligence stylist that recommends fashion products";"RIM AHRA";"ARA J CO LTD [KR]";"KR20240171268A";"2023-05-30";"G06F16/951 
G06F16/953 
G06N20/00 
G06Q30/06";"G06F16/951 (KR) 
G06F16/953 (KR) 
G06N20/00 (KR) 
G06Q30/0631 (KR) 
G06Q30/0643 (KR)";"2024-12-09";"2024-12-09";"093849289";
"443";"Interactive data management method and system based on artificial intelligence";"MA XU 
TANG CHENLONG 
XU ZHIJIANG";"GUANGZHOU KUAIPI INFORMATION TECH CO LTD";"CN119107146A 
CN119107146B";"2024-08-16";"G06F16/9535 
G06F16/9538 
G06F18/241 
G06Q30/0601";"G06F16/9535 (CN) 
G06F16/9538 (CN) 
G06F18/241 (CN) 
G06Q30/0631 (CN)";"2024-12-10 
2025-04-22";"2024-12-10";"093720860";
"444";"Marketing scene process management system and method based on artificial intelligence";"CHEN QI";"SHANGHAI JINGSHUO NETWORK TECH CO LTD";"CN119107107A";"2024-08-19";"G06F18/24 
G06F40/216 
G06Q30/0201";"G06F18/24 (CN) 
G06F40/216 (CN) 
G06Q30/0201 (CN)";"2024-12-10";"2024-12-10";"093711189";
"445";"Picture generation method and device";"FU KUI 
LI CHAO";"BEIJING JINGDONG TUOXIAN TECH CO LTD";"CN119152053A";"2023-06-15";"G06T11/00";"G06T11/00 (CN)";"2024-12-17";"2024-12-17";"093808532";
"446";"Emotional state information acquisition method and emotional state information acquisition model training method";"LIU DUOXING 
HUANG WANMIAN 
HUANG ZHIXIANG";"JD TECH HOLDING CO LTD";"CN119152889A";"2023-06-09";"G06N3/0442 
G06N3/0464 
G06N3/049 
G06N3/08 
G10L15/18 
G10L15/26 
G10L25/09 
G10L25/18 
G10L25/24 
G10L25/30 
G10L25/63";"G06N3/0442 (CN) 
G06N3/0464 (CN) 
G06N3/049 (CN) 
G06N3/08 (CN) 
G10L15/1822 (CN) 
G10L15/26 (CN) 
G10L25/09 (CN) 
G10L25/18 (CN) 
G10L25/24 (CN) 
G10L25/30 (CN) 
G10L25/63 (CN)";"2024-12-17";"2024-12-17";"093813722";
"447";"Interaction information processing method and system, electronic equipment and storage medium";"DAI WEI 
ZHU FANGZHI 
CHEN XIAOWEI 
ZHU JUNXIONG";"ALIBABA CHINA NETWORK TECH CO LTD";"CN119149696A";"2024-09-11";"G06F16/33 
G06F16/332 
G06F40/186 
G06F40/30";"G06F16/3326 (CN) 
G06F16/3329 (CN) 
G06F16/3344 (CN) 
G06F40/186 (CN) 
G06F40/30 (CN)";"2024-12-17";"2024-12-17";"093806162";
"448";"Model synchronization method, device and equipment for large model and medium";"QIU TONG";"BAIDU CHINA CO LTD";"CN119168091A";"2024-09-18";"G06F18/214 
G06N20/00 
G06N5/04";"G06F18/214 (CN) 
G06N20/00 (CN) 
G06N5/04 (CN)";"2024-12-20";"2024-12-20";"093880274";
"449";"METHOD OF MANAGING WAREHOUSE FOR RE-COMMODIFICATION OF USED FURNITURE BASED ON PREDICTING EXPORT DATE BASED ON ARTIFICIAL INTELLIGENCE";"KIM YUK HYUN";"REFRESHPARTNERS CO LTD [KR]";"KR102782358B1 
KR20240175639A";"2023-06-13";"G06N20/00 
G06N3/08 
G06Q10/00 
G06Q10/04 
G06Q10/06 
G06Q10/08 
G06Q30/02";"G06N20/00 (KR) 
G06N3/08 (KR) 
G06Q10/04 (KR) 
G06Q10/043 (KR) 
G06Q10/06315 (KR) 
G06Q10/08 (KR) 
G06Q10/30 (KR) 
G06Q30/0201 (KR) 
G06Q30/0283 (KR)";"2024-12-20 
2025-03-17";"2024-12-20";"094038204";
"450";"Floating-ear earphone and intelligent voice interaction method";"LIU YUANHAO";"LIU YUANHAO";"CN119172673A";"2023-06-20";"H04R1/10";"G10L15/22 (US) 
H04R1/1016 (EP,US) 
H04R1/1041 (EP,US) 
H04R1/105 (EP,CN,US) 
H04R1/1066 (EP,US) 
G10L2015/223 (EP,US) 
G10L2015/225 (US) 
H04R2201/105 (CN) 
H04R2420/07 (EP)";"2024-12-20";"2024-12-20";"093881425";
"451";"Internet e-commerce learning equipment based on artificial intelligence large model";"MA JIN";"GUIZHOU VOCATIONAL TECH COLLEGE OF E COMMERCE";"CN119169883A";"2024-11-11";"B08B5/02 
G03B21/14 
G03B21/54 
G09B5/02";"B08B5/02 (CN) 
G03B21/145 (CN) 
G03B21/54 (CN) 
G09B5/02 (CN)";"2024-12-20";"2024-12-20";"093892655";
"452";"Artificial intelligence chat robotic device for E-commerce";"LIU XIN-YI [TW] 
LIU SHAO-HUAN [TW] 
GAO HENG-ZHI [TW]";"WEI KE STRATEGY CO LTD [TW]";"TWM664637U";"2024-08-02";"G06F16/2457 
G06F3/01 
G06Q30/02";"";"2024-12-21";"2024-12-21";"094736827";
"453";"Parameter synchronization method and device for large model, equipment and medium";"QIU TONG";"BAIDU CHINA CO LTD";"CN119211260A";"2024-09-09";"G06N20/00 
H04L67/1095";"G06N20/00 (CN) 
H04L67/1095 (CN)";"2024-12-27";"2024-12-27";"094076860";
"454";"Group chat message processing method and device, equipment and storage medium";"WU CHENGCHENG 
WANG ZEYU 
LIU BAOJU 
ZHANG YE";"BEIJING BAIDU NETCOM SCI & TECH CO LTD";"CN119211172A";"2024-09-19";"H04L51/04 
H04L51/21 
H04L51/216 
H04L51/224";"H04L51/04 (CN) 
H04L51/21 (CN) 
H04L51/216 (CN) 
H04L51/224 (CN)";"2024-12-27";"2024-12-27";"094077962";
"455";"Fault root cause determination method and device, electronic equipment and storage medium";"ZHEN ZHEN 
XU ZHIMING 
ZHU ZEPENG 
HE ZHE 
YANG WENBO";"BAIDU ONLINE NETWORK TECHNOLOGY BEIJING CO LTD";"CN119202785A";"2024-09-06";"G06F18/21 
G06F18/24 
G06F40/151 
G06N3/006";"G06F18/217 (CN) 
G06F18/24 (CN) 
G06F40/151 (CN) 
G06N3/006 (CN)";"2024-12-27";"2024-12-27";"094041298";
"456";"Prompt word generation method and device based on large model";"QIU TONG";"BEIJING BAIDU NETCOM SCI & TECH CO LTD";"CN119202168A";"2024-09-06";"G06F16/33 
G06F16/332 
G06F40/284 
G06N3/0455 
G06N5/022 
G06N5/04";"G06F16/3329 (CN) 
G06F16/3334 (CN) 
G06F40/284 (CN) 
G06N3/0455 (CN) 
G06N5/022 (CN) 
G06N5/041 (CN)";"2024-12-27";"2024-12-27";"094055707";
"457";"Business system alarm method based on large model and related device";"QIU TONG";"BAIDU CHINA CO LTD";"CN119210982A";"2024-09-14";"H04L41/06 
H04L41/16";"H04L41/06 (CN) 
H04L41/16 (CN)";"2024-12-27";"2024-12-27";"094057657";
"458";"Model service providing method and device, electronic equipment and storage medium";"LIU TONGREN";"BEIJING BAIDU NETCOM SCI & TECH CO LTD";"CN119204211A";"2024-08-28";"G06N3/0455 
G06N3/08 
G06N5/04";"G06N3/0455 (CN) 
G06N3/08 (CN) 
G06N5/04 (CN)";"2024-12-27";"2024-12-27";"094043434";
"459";"Systems and methods for and operation of a digital marketplace add-in";"HAIDER IMRAN [US] 
LUU ANDREW-AN TRUONG [US] 
PERUMAL KUMARAN [US] 
IRONSIDE CHAD [US]";"WELLS FARGO BANK NA [US]";"US12182853B1";"2021-12-15";"G06F21/62 
G06Q20/10 
G06Q20/40 
G06Q30/0601 
G06Q40/03";"G06F21/6245 (EP,US) 
G06Q20/02 (EP) 
G06Q20/102 (EP,US) 
G06Q20/12 (EP) 
G06Q20/4014 (EP,US) 
G06Q20/4016 (EP,US) 
G06Q30/0201 (EP) 
G06Q30/0601 (EP) 
G06Q30/0641 (EP,US) 
G06Q40/03 (EP,US) 
G06Q2220/00 (EP,US)";"2024-12-31";"2024-12-31";"093933090";
"460";"Image generation method and device, model training method and device, equipment and storage medium";"LI TUANHUI";"BEIJING BAIDU NETCOM SCI & TECH CO LTD";"CN119251432A";"2024-09-18";"G06T17/20 
G06T19/20";"G06T17/205 (CN) 
G06T19/20 (CN) 
G06T2219/2016 (CN)";"2025-01-03";"2025-01-03";"094020868";
"461";"Commodity named entity recognition model generation method and commodity search text processing method";"BAO RUXING 
XIA PENGHUI 
CUI QINGYANG 
LIU JIALUN";"KANGCHENG INVEST CHINA CO LTD";"CN119250075A";"2024-09-24";"G06F16/953 
G06F16/9535 
G06F40/295 
G06N3/0442 
G06N3/049 
G06N3/084 
G06Q30/0601";"G06F16/953 (CN) 
G06F16/9535 (CN) 
G06F40/295 (CN) 
G06N3/0442 (CN) 
G06N3/049 (CN) 
G06N3/084 (CN) 
G06Q30/0601 (CN)";"2025-01-03";"2025-01-03";"094031362";
"462";"Version management method and device for large model, equipment and medium";"QIU TONG";"BAIDU CHINA CO LTD";"CN119272852A";"2024-09-23";"G06F11/30 
G06F11/34 
G06F8/71 
G06N3/0455 
G06N3/096 
G06N3/0985 
G06N3/10";"G06F11/302 (CN) 
G06F11/3409 (CN) 
G06F8/71 (CN) 
G06N3/0455 (CN) 
G06N3/096 (CN) 
G06N3/0985 (CN) 
G06N3/10 (CN) 
G06F2201/865 (CN)";"2025-01-07";"2025-01-07";"094110308";
"463";"Resource recommendation method and device, electronic equipment and computer readable storage medium";"XU JIAJIA 
SUN JIQING 
LI MEIFANG 
XU PEIZHI";"BEIJING BAIDU NETCOM SCI & TECH CO LTD";"CN119271887A";"2024-09-18";"G06F16/9535 
G06N5/025";"G06F16/9535 (CN) 
G06N5/025 (CN)";"2025-01-07";"2025-01-07";"094116081";
"464";"Target data generation method and device, electronic equipment and storage medium";"YANG CHAO 
WU JINYANG";"BAIDU CHINA CO LTD";"CN119271185A";"2024-08-02";"G06F8/30 
G06F8/41 
G06F8/65 
G06F8/71";"G06F8/315 (CN) 
G06F8/427 (CN) 
G06F8/65 (CN) 
G06F8/71 (CN)";"2025-01-07";"2025-01-07";"094107962";
"465";"Human-machine cooperation video generation system";"DAI ZONGHONG 
YANG CHANGPENG 
LI MINGLEI 
CHEN JUNHAN";"BEIJING LINGYI WANWU INFORMATION TECH CO LTD";"CN119277167A";"2024-10-12";"H04N21/44 
H04N21/472 
H04N21/81 
H04N23/60";"H04N21/44016 (CN) 
H04N21/47205 (CN) 
H04N21/816 (CN) 
H04N23/64 (CN)";"2025-01-07";"2025-01-07";"094109569";
"466";"Resource cold start method, device and equipment based on large model and storage medium";"LEI FALIN 
LIU XIN 
ZHOU YANG 
LI SHANTAO";"BAIDU ONLINE NETWORK TECHNOLOGY BEIJING CO LTD";"CN119293349A 
CN119293349B";"2024-09-20";"G06F16/951 
G06F16/9536 
G06N3/042 
G06N3/08 
G06Q30/0601";"G06F16/951 (CN) 
G06F16/9536 (CN) 
G06N3/042 (CN) 
G06N3/08 (CN) 
G06Q30/0631 (CN)";"2025-01-10 
2026-03-13";"2025-01-10";"094147903";
"467";"Model instance management method and device for large model, equipment and medium";"QIU TONG";"BAIDU CHINA CO LTD";"CN119294363A";"2024-09-26";"G06F40/16 
G06N5/04";"G06F40/16 (CN) 
G06N5/04 (CN)";"2025-01-10";"2025-01-10";"094166075";
"468";"Method and device for determining presentation effect of live broadcast room, equipment and storage medium";"WANG HAIYU 
XU PEIZHI";"BAIDU TIMES NETWORK TECH BEIJING CO LTD";"CN119295173A";"2024-09-12";"G06F18/21 
G06F18/214 
G06F18/241 
G06Q30/0601 
G06T11/40 
H04N21/2187 
H04N21/254 
H04N21/478";"G06F18/21 (CN) 
G06F18/214 (CN) 
G06F18/241 (CN) 
G06Q30/0643 (CN) 
G06T11/40 (CN) 
H04N21/2187 (CN) 
H04N21/2542 (CN) 
H04N21/47815 (CN)";"2025-01-10";"2025-01-10";"094162485";
"469";"TRANSACTIONAL PLATFORM UTILIZING ARTIFICIAL INTELLIGENCE";"HERKEN ROLF [US]";"MINE ZERO GMBH [DE]";"US2025022023A1";"2015-03-12";"G06Q10/10 
G06Q10/107 
G06Q10/109 
G06Q20/12 
G06Q30/0201 
G06Q30/0207 
G06Q30/0601 
G06Q50/00 
H04L51/04 
H04L65/1069 
H04L9/40";"G06N20/00 (EP) 
G06Q10/10 (US) 
G06Q10/107 (US) 
G06Q10/109 (US) 
G06Q20/12 (EP,US) 
G06Q20/127 (EP) 
G06Q20/145 (EP) 
G06Q30/0206 (EP,US) 
G06Q30/0207 (EP) 
G06Q30/0213 (EP,US) 
G06Q30/0601 (EP,US) 
G06Q30/0615 (EP) 
H04L63/0428 (EP,US) 
H04L65/1069 (EP,US) 
G06Q10/40 (EP,US) 
H04L51/04 (EP,US)";"2025-01-16";"2025-01-16";"094211385";
"470";"Commodity recommendation copywriting generation method based on multi-modal artificial intelligence large model";"WU KAI 
WANG BAOMI 
ZHANG CHENGZHEN 
WEI YANGYANG";"HANGZHOU GUIYI INTELLIGENT TECH CO LTD";"CN119337837A";"2024-09-20";"G06F40/166 
G06F40/30 
G06N10/20 
G06N3/0455 
G06N3/0475 
G06N3/094 
G06N5/04 
G06Q30/0601";"G06F40/166 (CN) 
G06F40/30 (CN) 
G06N10/20 (CN) 
G06N3/0455 (CN) 
G06N3/0475 (CN) 
G06N3/094 (CN) 
G06N5/04 (CN) 
G06Q30/0631 (CN)";"2025-01-21";"2025-01-21";"094276058";
"471";"Data pushing method based on artificial intelligence";"DING JINXIAO 
WANG YANGLINFENG 
DUAN RUIXIANG";"CHONGQING VOCATIONAL UNIV OF ELECTRONIC SCIENCE AND TECHNOLOGY";"CN119338562A";"2024-11-04";"G06F16/242 
G06F16/9535 
G06F18/213 
G06F18/24 
G06Q30/0601";"G06F16/2433 (CN) 
G06F16/9535 (CN) 
G06F18/213 (CN) 
G06F18/24 (CN) 
G06Q30/0631 (CN)";"2025-01-21";"2025-01-21";"094274411";
"472";"Commodity recommendation method and system based on artificial intelligence";"MA XU 
TANG CHENLONG 
XU ZHIJIANG 
WANG HAN";"GUANGZHOU KUAIPI INFORMATION TECH CO LTD";"CN119338551A 
CN119338551B";"2024-09-29";"G06Q30/0201 
G06Q30/0251 
G06Q30/0601";"G06Q30/0201 (CN) 
G06Q30/0256 (CN) 
G06Q30/0631 (CN) 
G06Q30/0633 (CN)";"2025-01-21 
2025-07-25";"2025-01-21";"094262772";
"473";"APPARATUS AND METHOD FOR E-COMMERCE SERVICES BASED ON USER EXPERIENCE THROUGH LINKING CHATBOT AND LANDING PAGE";"KANG SIN HYUNG [KR]";"DALKINARA INC [KR]";"KR102757371B1";"2024-02-27";"G06F16/33 
G06F16/332 
G06F16/958 
G06N3/0475 
G06N3/096 
G06Q30/02 
G06Q30/06 
H04L51/02 
H04L51/046";"";"2025-01-21";"2025-01-21";"094389854";
"474";"Method and System for Financing Global Energy Assets through Diverse Financial Instruments on a Digital Marketplace";"RAUNIAR DEEPAK KUMAR [NP] 
SHARMA NEERU [US]";"RAUNIAR DEEPAK KUMAR [NP] 
SHARMA NEERU [US]";"US2025029179A1";"2023-07-17";"G06Q30/018 
G06Q40/04 
G06Q40/06";"G06Q30/018 (EP,US) 
G06Q40/04 (EP,US) 
G06Q40/06 (EP,US) 
G06Q50/06 (EP)";"2025-01-23";"2025-01-23";"094260201";
"475";"Method for training skeleton parameter generation model and generating three-dimensional face model";"LI TUANHUI 
LIANG BAIRONG 
ZHOU HANG";"BEIJING BAIDU NETCOM SCI & TECH CO LTD";"CN119359897A";"2024-09-10";"G06T17/00 
G06V10/82 
G06V40/16";"G06T17/00 (CN) 
G06V10/82 (CN) 
G06V40/168 (CN) 
Y02T10/40 (EP)";"2025-01-24";"2025-01-24";"094305193";
"476";"Multi-style polishing intelligent customer service reply method and system and storage medium thereof";"WANG YI 
CHEN YU";"HANGZHOU GUANGYUN TECH CO LTD";"CN119357337A 
CN119357337B";"2024-12-25";"G06F16/332 
G06F16/35 
G06F40/35 
G06N3/084 
G06N3/092 
G06Q30/015";"G06F16/3329 (CN) 
G06F16/35 (CN) 
G06F40/35 (CN) 
G06N3/084 (CN) 
G06N3/092 (CN) 
G06Q30/015 (CN)";"2025-01-24 
2025-06-27";"2025-01-24";"094315046";
"477";"Live broadcast control method, apparatus and device, and storage medium";"CHANG YIBIAO";"BAIDU ONLINE NETWORK TECHNOLOGY BEIJING CO LTD";"CN119364115A 
CN119364115B";"2024-09-27";"H04N21/442 
H04N21/466 
H04N21/478 
H04N21/4788";"H04N21/44213 (CN) 
H04N21/4665 (CN) 
H04N21/4666 (CN) 
H04N21/47815 (CN) 
H04N21/4788 (CN)";"2025-01-24 
2025-09-23";"2025-01-24";"094301950";
"478";"Evaluation report generation system based on artificial intelligence and big data analysis";"ZHENG CHANGHAI";"HUAQI POWER DIGITAL TECH SHANDONG CO LTD";"CN119358519A 
CN119358519B";"2024-12-25";"G06F16/31 
G06F16/34 
G06F16/35 
G06F40/166 
G06F40/216 
G06F40/30 
G06Q30/0282";"G06F16/31 (CN) 
G06F16/345 (CN) 
G06F16/35 (CN) 
G06F40/166 (CN) 
G06F40/216 (CN) 
G06F40/30 (CN) 
G06Q30/0282 (CN) 
G06F2216/01 (CN) 
Y02D10/00 (EP)";"2025-01-24 
2025-04-08";"2025-01-24";"094311948";
"479";"Interaction method and device, electronic equipment and storage medium";"HUANG YUHANG 
LI MINGCHEN 
ZHANG ZIPEI 
LIAO QIANYI 
CHEN HAOHAO 
LI BINGYUAN";"BEIJING BAIDU NETCOM SCI & TECH CO LTD";"CN119376579A";"2024-09-20";"G06F3/0481 
G06F3/0484 
G06F3/04883 
G06F9/451";"G06F3/0481 (CN) 
G06F3/0484 (CN) 
G06F3/04883 (CN) 
G06F9/451 (CN)";"2025-01-28";"2025-01-28";"094331497";
"480";"Cloud native large model starting method, device and system";"QIU TONG";"BAIDU CHINA CO LTD";"CN119376851A";"2024-09-14";"G06F9/455";"G06F9/45558 (CN) 
G06F2009/45562 (CN) 
G06F2009/45575 (CN) 
G06F2009/45595 (CN)";"2025-01-28";"2025-01-28";"094331284";
"481";"Large model service starting method and device, equipment and medium";"QIU TONG";"BAIDU CHINA CO LTD";"CN119376971A";"2024-09-14";"G06F9/54";"G06F9/544 (CN) 
G06F9/547 (CN)";"2025-01-28";"2025-01-28";"094326166";
"482";"Prompt word generation method and device applied to large model and electronic equipment";"QIU TONG";"BAIDU CHINA CO LTD";"CN119378544A";"2024-09-27";"G06F18/22 
G06F40/284 
G06F9/451 
G06Q10/0639";"G06F18/22 (CN) 
G06F40/284 (CN) 
G06F9/451 (CN) 
G06Q10/06393 (CN)";"2025-01-28";"2025-01-28";"094340221";
"483";"Virtual object driving and model training method and device, equipment and medium";"LI TUANHUI";"BEIJING BAIDU NETCOM SCI & TECH CO LTD";"CN119379867A 
CN119379867B";"2024-09-18";"G06N3/0455 
G06T13/20 
G06T13/40 
G10L21/10";"G06N3/0455 (CN) 
G06T13/205 (CN) 
G06T13/40 (CN) 
G10L21/10 (CN) 
G06T2207/20084 (CN) 
G10L2021/105 (CN)";"2025-01-28 
2025-09-19";"2025-01-28";"094325972";
"484";"Systems and methods for planetary intelligence (PI)";"KAPLAN CRAIG";"IQ CONSULTING SA";"CN121153041A";"2023-05-25";"G06N20/00 
G06N3/008";"G06N20/00 (EP,IL) 
G06N20/20 (KR) 
G06N3/006 (EP,IL,KR) 
G06N3/045 (KR) 
G06N3/08 (EP,IL) 
G06N5/02 (EP,IL) 
G06N5/043 (EP,IL,KR)";"2025-12-16";"2025-01-30";"094375614";
"485";"A system for recommending products for sale to resellers using artificial intelligence";"SEO SEOK HYEON [KR]";"SEO SEOK HYEON [KR]";"KR20250013253A";"2023-07-18";"G06F16/951 
G06F40/279 
G06N3/0442 
G06N3/096 
G06Q30/0202 
G06Q30/0282 
G06Q30/0601";"G06F16/951 (KR) 
G06N3/0442 (KR) 
G06N3/09 (KR) 
G06Q30/0202 (KR) 
G06Q30/0282 (KR) 
G06Q30/0613 (KR) 
G06Q30/0631 (KR)";"2025-01-31";"2025-01-31";"094385708";
