"Espacenet";"";"";"";"";"";"";"";"";
"Patent search";"";"";"";"";"";"";"";"";
"21 844 results found for (nftxt = ""e-commerce"" OR nftxt = ""online ordering"" OR nftxt = ""digital marketplace"") AND (nftxt = ""product search"" OR nftxt = ""recommendation"" OR nftxt = ""personalization"" OR nftxt = ""shopping cart"" OR nftxt = ""checkout"" OR nftxt = ""order management"" OR nftxt = ""mobile ordering"")";"";"";"";"";"";"";"";"";
"null";"";"";"";"";"";"";"";"";
"Query language: en / de / fr";"";"";"";"";"";"";"";"";
"Sort by: Relevance";"";"";"";"";"";"";"";"";
"Filters: Earliest publication date (family): 2022-01-01 To 2026-12-31";"";"";"";"";"";"";"";"";
"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"177";"METHODS AND SYSTEMS FOR AUTOMATIC PRODUCT COMPARISON";"RIM ALEXANDER [US] 
TOBLER TRENT [US] 
HARDMAN ALEXANDER [US] 
MONTESDEOCA DENISE [US] 
STAUSS TYLER [US] 
DEL RIO JOSE [US] 
JURKOWSKI KEVIN [US]";"CAPITAL ONE SERVICES LLC [US]";"US2023127769A1";"2021-07-12";"G06Q30/0207 
G06Q30/0601";"G06Q10/0875 (EP) 
G06Q30/0222 (EP,US) 
G06Q30/0613 (EP) 
G06Q30/0623 (EP) 
G06Q30/0627 (US) 
G06Q30/0629 (US) 
G06Q30/0641 (EP) 
G06Q30/0643 (US)";"2023-04-27";"2023-01-19";"079283247";
"178";"E-COMMERCE WEBSITE WITH APPROVAL AND STATUS UPDATES FROM A CUSTOMER SYSTEM";"DUMAIS SAVARD MATHIEU [CA] 
ANAND ANKUR [IN] 
JAIN VIKASH KUMAR [IN] 
PITCHUKA PRIYANKA [IN] 
MISHRA SATYA S [US] 
GOSWAMI NEHA [US]";"AMAZON TECH INC [US]";"US2022414751A1";"2021-06-29";"G06Q30/06";"G06Q30/0601 (EP) 
G06Q30/0635 (EP) 
G06Q30/0637 (EP,US) 
G06Q30/0641 (US)";"2022-12-29";"2022-12-29";"082608331";
"179";"Advertisement push optimization method and system based on e-commerce platform";"GAO LILI 
YE CHUNYAN 
HU GUIXIANG 
ZHOU XIAO 
MO LI 
HUANG LI 
CHEN QIQIANG";"YIBIN VOCATIONAL & TECHNICAL COLLEGE";"CN121352888A";"2025-03-05";"G06F18/213 
G06F18/25 
G06F18/27 
G06N3/045 
G06Q30/0241 
G06Q30/0251";"";"2026-01-16";"2026-01-16";"098396765";
"180";"Commodity sales system based on Android platform";"LIU LIJUAN 
JIA RUSHI";"UNIV DALIAN JIAOTONG";"CN115471294A";"2022-09-09";"G06K9/62 
G06Q30/06";"G06Q30/0601 (CN) 
G06Q30/0641 (CN)";"2022-12-13";"2022-12-13";"084369068";
"181";"E-commerce platform promotion method and system based on flow path analysis";"ZHOU MENGXI 
QIU HAIQIAN 
FENG LEI";"SHANGHAI KENGNU INFORMATION TECH CO LTD";"CN121391371A";"2025-10-28";"G06Q30/0201 
G06Q30/0241 
G06Q30/0251 
G06Q30/0601";"";"2026-01-23";"2026-01-23";"098465923";
"182";"Interest recommendation algorithm combined with user behavior data";"LI ZHIJUN";"SHENZHEN WOLE TRADING CO LTD";"CN119130603A";"2024-09-18";"G06F16/9535 
G06F16/9536 
G06N3/042 
G06N3/08 
G06Q30/0601";"G06F16/9535 (CN) 
G06F16/9536 (CN) 
G06N3/042 (CN) 
G06N3/08 (CN) 
G06Q30/0631 (CN) 
G06Q30/0643 (CN)";"2024-12-13";"2024-12-13";"093760289";
"183";"METHODS AND SYSTEMS FOR AUTOMATIC PRODUCT COMPARISON";"RIM ALEXANDER [US] 
TOBLER TRENT [US] 
HARDMAN ALEXANDER [US] 
MONTESDEOCA DENISE [US] 
STAUSS TYLER [US] 
DEL RIO JOSE [US] 
JURKOWSKI KEVIN [US]";"CAPITAL ONE SERVICES LLC [US]";"US11562416B1 
US2023009956A1";"2021-07-12";"G06Q30/02 
G06Q30/06";"G06Q30/0222 (EP,US) 
G06Q30/0627 (EP,US) 
G06Q30/0629 (EP,US) 
G06Q30/0643 (EP,US)";"2023-01-12 
2023-01-24";"2023-01-12";"084798836";
"184";"Intelligentes hybrides Managementsystem zur Vorhersage der Abwanderung von E-Commerce-Benutzern im E-Commerce mittels Data Mining und Deep Learning";"";"AGNIHOTRI GANESH [IN] 
ARORA GAURAV KUMAR [IN] 
CHOWDHURY SUBRATA [IN] 
MAHADEVAPPA NAGAMADHU [IN] 
NAYAK NIHAR RANJAN [IN] 
RAMANA TATHAPUDI VENKATA [IN] 
SHETTY NIYAT [IN] 
SIDDIQUI AHMAD TASNIM [IN] 
SINGH ARUN KUMAR [IN] 
SURYAVANSHI RAGHURAJ SINGH [IN] 
TALUKDAR VEERA [IN] 
UPPATHIL MOHAMMED ROSHIF [IN] 
URKUDE ASHISH MANOHAR [IN]";"DE202022100697U1";"2022-02-07";"G06Q10/04 
G06Q30/02";"G06Q30/02 (EP) 
G06Q30/0201 (EP) 
G06Q30/0202 (EP)";"2022-02-17";"2022-02-17";"080624798";
"185";"Pre-warehouse inventory management method based on e-commerce platform same-warehouse substitute recommendation strategy";"ZHAO JU 
HE XIN 
XIE QIANGQIANG 
LI MINGZE";"UNIV HEFEI TECHNOLOGY";"CN117893134A";"2024-01-17";"G06Q10/087 
G06Q30/0202 
G06Q30/0601";"G06Q10/087 (CN) 
G06Q30/0202 (CN) 
G06Q30/0605 (CN) 
G06Q30/0631 (CN)";"2024-04-16";"2024-04-16";"090650404";
"186";"E-commerce data intelligent classification recommendation method and system based on artificial intelligence";"ZHAO GUANG";"BEIJING DANBAO NETWORK TECH CO LTD";"CN118822698A 
CN118822698B";"2024-09-19";"G06F18/23 
G06F18/24 
G06Q30/0201 
G06Q30/0202 
G06Q30/0601";"G06F18/23 (CN) 
G06F18/24 (CN) 
G06Q30/0201 (CN) 
G06Q30/0202 (CN) 
G06Q30/0625 (CN) 
G06Q30/0631 (CN)";"2024-10-22 
2024-11-26";"2024-10-22";"093071014";
"187";"Customizable intelligent new retail system";"SONG MINGYAN";"INSPUR HAILIAN YIMAO SHANDONG INFORMATION TECH CO LTD";"CN117764665A";"2023-10-30";"G06Q10/0631 
G06Q10/087 
G06Q30/0201 
G06Q30/0207 
G06Q30/0251 
G06Q30/0601 
G06Q40/12";"";"2024-03-26";"2024-03-26";"090318947";
"188";"Human-computer interaction method based on e-commerce platform";"LIU HUI";"GUICHANG GROUP CO LTD";"CN120832020A";"2025-07-08";"G06F18/22 
G06F3/01 
G06Q30/0601";"G06F18/22 (CN) 
G06F3/011 (CN) 
G06Q30/0631 (CN) 
G06Q30/0641 (CN) 
Y02D10/00 (EP)";"2025-10-24";"2025-10-24";"097397729";
"189";"E-commerce content recommendation system based on AI and big data analysis";"LI ZHIKUN 
WU XUANPING 
ZHONG LIANFENG 
LI SHA";"DAOGE YUANCHUANG FUJIAN CULTURAL AND CREATIVE CO LTD";"CN117131261A";"2023-07-10";"G06F16/9535 
G06N3/04 
G06N3/0442 
G06N3/0464 
G06N3/092 
G06Q30/0601";"G06F16/9535 (CN) 
G06N3/0442 (CN) 
G06N3/0463 (CN) 
G06N3/0464 (CN) 
G06N3/092 (CN) 
G06Q30/0631 (CN)";"2023-11-28";"2023-11-28";"088851682";
"190";"Electronic commerce integrated order management system";"HU HAILONG";"CHONGQING JIAZHILING E COMMERCE CO LTD";"CN121032384A";"2025-06-30";"G06Q10/0637 
G06Q10/087 
G06Q30/0202 
G06Q30/0601";"G06Q10/0637 (CN) 
G06Q10/087 (CN) 
G06Q30/0202 (CN) 
G06Q30/0633 (CN)";"2025-11-28";"2025-11-28";"097765886";
"191";"E-commerce product information recommendation method and system based on big data model";"WU PENGYUE 
ZHOU HUIJIE 
LI ZHI";"COLLEGE OF SCIENCE & TECHNOLOGY NINGBO UNIV";"CN119831679A";"2024-12-11";"G06F16/9535 
G06F17/16 
G06F18/22 
G06Q30/0601";"";"2025-04-15";"2025-04-15";"095291152";
"192";"Commodity recommendation method and system based on collaborative filtering model";"SUN XIAOHAN";"BEIJING QUANSU ONLINE TECH CO LTD";"CN116701780A 
CN116701780B";"2023-06-07";"G06F16/2458 
G06F16/9536 
G06F18/10 
G06F18/213 
G06F18/214 
G06N20/00 
G06Q30/0601";"G06F16/2465 (CN) 
G06F16/9536 (CN) 
G06F18/10 (CN) 
G06F18/213 (CN) 
G06F18/214 (CN) 
G06N20/00 (CN) 
G06Q30/0631 (CN)";"2023-09-05 
2026-05-12";"2023-09-05";"087840468";
"193";"E-commerce platform data processing system and method";"DUAN DEGUO 
LIU HAO 
KONG WEIHONG 
ZHANG YANG";"AIPU KECHUANG SHANDONG CO LTD";"CN121366005A";"2025-11-05";"G06Q30/0226 
G06Q30/0251 
G06Q30/0601 
G06Q50/26";"";"2026-01-20";"2026-01-20";"098417942";
"194";"DYNAMIC PRICING OF PRODUCTS IN E-COMMERCE USING ENSEMBLE OF CONTEXTUAL BANDITS";"SETHURAMAN SRIVIDHYA [IN] 
GOVINDARAJU UMA MAHESWARI [IN] 
RAMANAN SHARADHA [IN] 
KUMAR SUNNY [IN] 
THOMBRE SIDDHESH SUNIL [IN] 
PATEL VIKASH [IN]";"TATA CONSULTANCY SERVICES LTD [IN]";"US2025165999A1";"2023-11-17";"G06N20/20 
G06Q30/0201";"G06N20/20 (EP,US) 
G06N3/08 (EP) 
G06N7/01 (EP) 
G06Q30/0202 (EP) 
G06Q30/0206 (EP,US) 
G06Q30/0283 (EP)";"2025-05-22";"2025-05-21";"093521610";
"195";"E-commerce simulation training platform";"RAO LEI 
WANG LIANGYI 
DONG CHENGLIN 
MAO KE 
ZHANG YINHU";"CHANGSHA TAILING EDUCATION SCIENCE AND TECH CO";"CN114580903A";"2022-03-04";"G06Q10/06 
G06Q50/20";"G06Q10/06311 (CN) 
G06Q10/06315 (CN) 
G06Q50/205 (CN)";"2022-06-03";"2022-06-03";"081772480";
"196";"EDGE WEIGHT BASED COMPUTER MODELS FOR ITEM RECOMMENDATION";"JETTY RAJASEKHAR [US] 
SHARMA NEERAJ [US] 
VAIDYA IESHAN A [US] 
DOMLUR SEETHARAMA YOGANANDA [US] 
HO CHI-SAN [US] 
GUPTA ANKIT [US] 
DOMLUR SEETHARAMA YOGANANDA [CA]";"WALMART APOLLO LLC [US]";"US12591919B2 
US2025245722A1";"2024-01-31";"G06Q30/02 
G06Q30/0201 
G06Q30/0601";"G06Q30/0201 (EP,US) 
G06Q30/0281 (EP,US) 
G06Q30/0631 (EP,US)";"2025-07-31 
2026-03-31";"2025-07-31";"096501453";
"197";"Commodity comparison method, commodity interaction method and respective corresponding devices";"YI QI";"XIAOHONGSHU TECH CO LTD";"CN119228480A";"2024-08-21";"G06F3/04847 
G06F3/04883 
G06Q30/0601";"G06F3/04847 (CN) 
G06F3/04883 (CN) 
G06Q30/0629 (CN) 
G06Q30/0635 (CN) 
G06Q30/0643 (CN)";"2024-12-31";"2024-12-31";"094069473";
"198";"Commodity information recommendation method and device for electronic shopping mall, and medium";"ZHENG JIANYANG 
CHEN RENJIE";"XIAMEN LEELEN TECH CO LTD";"CN115983950A 
CN115983950B";"2023-03-17";"G06F16/2457 
G06F16/951 
G06F16/9536 
G06Q30/0601";"Y02D10/00 (EP)";"2023-04-18 
2023-10-27";"2023-04-18";"085970840";
"199";"E-commerce platform commodity recommendation method and system based on user preference analysis";"ZHOU ZHOU 
TANG XIAOFENG 
YAN HONGYU 
WANG TAO 
SONG YANG";"BEIJING PINNUO YOUCHUANG TECH CO LTD";"CN119398864A 
CN119398864B";"2024-10-14";"G06F18/24 
G06F18/25 
G06N3/045 
G06N3/092 
G06Q30/0601";"G06F18/24 (CN) 
G06F18/253 (CN) 
G06N3/045 (CN) 
G06N3/092 (CN) 
G06Q30/0631 (CN)";"2025-02-07 
2025-05-02";"2025-02-07";"094421485";
"200";"Live broadcast e-commerce intelligent management platform and method based on big data";"QU XINYU";"NANJING WANGHUI TECH CO LTD";"CN119130599A";"2024-09-11";"G06N20/20 
G06Q30/0601 
H04N21/2187";"G06N20/20 (CN) 
G06Q30/0631 (CN) 
H04N21/2187 (CN)";"2024-12-13";"2024-12-13";"093769560";
"201";"Interaction information management method and system for smart cloud platform";"WANG JINCONG 
WU WEI 
MAI XIAOHONG";"GUANGZHOU QUMI NETWORK TECH CO LTD";"CN119648349A 
CN119648349B";"2025-02-20";"G06F18/22 
G06F18/25 
G06N3/048 
G06N3/0499 
G06Q30/0251 
G06Q30/0601";"Y02D10/00 (EP)";"2025-03-18 
2025-04-29";"2025-03-18";"094947913";
"202";"E-commerce commodity recommendation system based on causal inference depolarization";"CHEN YIJING";"ZHONGMIAN RISHANG INTERCONNECTION TECH CO LTD";"CN117745391A";"2023-12-26";"G06N3/08 
G06Q30/0201 
G06Q30/0601";"";"2024-03-22";"2024-03-22";"090250852";
"203";"E-commerce platform sequence recommendation method based on sampling reconstruction contrast learning";"ZHOU YANBO 
GUO XU 
YANG XUHUA 
XU XINLI";"UNIV ZHEJIANG TECHNOLOGY";"CN119477488A 
CN119477488B";"2025-01-15";"G06N3/0895 
G06Q30/0251 
G06Q30/0601";"G06N3/0895 (CN) 
G06Q30/0256 (CN) 
G06Q30/0631 (CN)";"2025-02-18 
2025-05-06";"2025-02-18";"094592624";
"204";"E-commerce platform operation system based on intelligent decision and dynamic optimization";"LIANG ZHIBIN 
WANG KEZHENG 
XIONG YAN 
TANI TOSHIHIDE";"BEIJING XINJIACHUN TECH CO LTD";"CN120410676A";"2025-04-19";"G06N3/0442 
G06N3/092 
G06N5/022 
G06Q30/0202 
G06Q30/0601";"G06N3/0442 (CN) 
G06N3/092 (CN) 
G06N5/022 (CN) 
G06Q30/0202 (CN) 
G06Q30/0601 (CN) 
G06Q30/0631 (CN)";"2025-08-01";"2025-08-01";"096514908";
"205";"METHOD AND SYSTEM FOR PERSONALIZED SUBSTITUTE PRODUCT RECOMMENDATION";"GUBBI LAKSHMINARASIMHA JAYAVARDHANA RAMA [IN] 
BHATTACHARYA GAURAB [IN] 
PURUSHOTHAMAN BALAMURALIDHAR [IN] 
VASUDEVAN BAGYALAKSHMI [IN] 
KILARI NIKHIL [IN]";"TATA CONSULTANCY SERVICES LTD [IN]";"US12346951B2 
US2023162260A1";"2021-11-19";"G06Q30/06 
G06F16/56 
G06Q30/00 
G06Q30/0601";"G06F16/532 (EP) 
G06F16/535 (EP) 
G06F16/538 (EP) 
G06F16/56 (US) 
G06F16/583 (EP) 
G06F16/9535 (EP) 
G06N3/045 (EP) 
G06N3/0464 (EP) 
G06Q30/0621 (EP,US) 
G06Q30/0631 (EP,US) 
G06V10/82 (EP) 
G06N3/048 (EP) 
G06N3/082 (EP)";"2023-05-25 
2025-07-01";"2023-05-24";"083902825";
"206";"Electronic commerce network shopping terminal for general merchandise retail industry";"ZHANG CHI";"ZHONGCHENG WARRANTY FREE PRODUCT CHONGQING SUPPLY CHAIN MAN LIMITED COMPANY";"CN216070138U";"2021-08-06";"B62B3/14 
B62B5/00";"";"2022-03-18";"2022-03-18";"080668134";
"207";"Commodity search system and related advertisement displaying method thereof";"YANG SHENG-MIN [TW]";"PCHOME ONLINE INC [TW]";"TW202418106A 
TWI858419B";"2022-10-27";"G06F16/338 
G06F16/383 
G06Q30/06";"";"2024-05-01 
2024-10-11";"2024-05-01";"092074304";
"208";"E-commerce consumption path prediction and loss early warning system based on multi-modal fusion";"LIU CHAO 
ZHANG ZHENHUA 
CUI CHAOQUN 
LIU WENHAO";"SHANDONG QINGQIAO INFORMATION TECH CO LTD";"CN121329488A";"2025-10-21";"G06F18/21 
G06F18/241 
G06F18/25 
G06N3/045 
G06N3/0455 
G06N3/048 
G06N5/025 
G06Q30/0202 
G06Q30/0203 
G06Q30/0601";"";"2026-01-13";"2026-01-13";"098340911";
"209";"E-commerce platform system based on Internet of Things";"XIA SHUQIN 
ZHANG CHENG 
ZUO BO";"SHENZHEN CNET SOFTWARE CO LTD";"CN118071454A";"2024-03-04";"G06Q10/10 
G06Q30/0601 
G07C11/00 
G16Y10/45";"G06Q10/103 (CN) 
G06Q30/0601 (CN) 
G06Q30/0631 (CN) 
G06Q30/0635 (CN) 
G07C11/00 (CN) 
G16Y10/45 (CN) 
G07C2011/04 (CN)";"2024-05-24";"2024-05-24";"091105471";
"210";"Automatically Populating Shopping Cart from Electronic Shopping List";"RUHTER ALEX [US]";"CABAIRE LLC [US]";"US2024232985A1";"2023-01-06";"G06Q30/0601";"G06Q30/0633 (EP,US) 
G06Q30/0643 (EP,US)";"2024-07-11";"2024-07-11";"091761648";
"211";"E-commerce big data processing method and system based on deep learning";"WANG CHUNHUA 
CHEN FEI 
YAN MENGZHU 
LI XUAN";"ZHENGZHOU GAOYUMEI INFORMATION TECH CO LTD";"CN118279019A";"2024-04-09";"G06F18/213 
G06F18/214 
G06F18/2411 
G06Q30/0601";"G06F18/213 (CN) 
G06F18/214 (CN) 
G06F18/2411 (CN) 
G06Q30/0631 (CN)";"2024-07-02";"2024-07-02";"091647926";
"212";"Multi-round interactive recommendation system and method for e-commerce shopping guide assistant";"SHEN ZHENLEI 
TIAN CHUNYAN 
TANG JIAN 
CHENG XINGCHENG";"ZHONGMIAN RISHANG INTERCONNECTION TECH CO LTD 
CHINA TOURISM GROUP ZHONGMIAN CO LTD";"CN121685072A";"2026-02-11";"G06F18/2431 
G06N5/01 
G06Q30/015 
G06Q30/0601";"";"2026-03-17";"2026-03-17";"099042442";
"213";"CO-PURCHASING SYSTEM & METHOD";"HANN MARK [US] 
STARK JAMES [US]";"SPLITCART LLC [US]";"WO2023039002A1 
WO2023039002A9";"2021-09-07";"G06Q20/10 
G06Q20/12 
G06Q20/14 
G06Q30/06";"G06Q20/102 (EP) 
G06Q20/12 (EP) 
G06Q20/14 (EP) 
G06Q30/06 (EP) 
G06Q30/0641 (EP)";"2023-03-16 
2023-11-02";"2023-03-16";"083508611";
"214";"Commodity sales management method and system based on e-commerce platform";"GUO MEILI 
LIU KEFENG";"SHENZHEN CO SIGN E COMMERCE LTD COMPANY";"CN114581204A";"2022-04-28";"G06F16/9536 
G06Q30/06";"G06F16/9536 (CN) 
G06Q30/0601 (CN) 
G06Q30/0631 (CN) 
G06Q30/0635 (CN)";"2022-06-03";"2022-06-03";"081778536";
"215";"Live broadcast interaction method and device, equipment, storage medium and program product";"WANG HUAN 
LUO JINGKE";"SHUXING TECH BEIJING CO LTD";"CN121309914A";"2024-05-31";"G06F18/23 
G06F3/04817 
G06F3/0488 
H04N21/2187 
H04N21/431 
H04N21/478 
H04N21/4788 
H04N21/81";"G06F18/23 (CN) 
G06F3/04817 (CN) 
G06F3/0488 (CN) 
H04N21/2187 (CN) 
H04N21/4312 (CN) 
H04N21/47815 (CN) 
H04N21/4788 (CN) 
H04N21/8133 (CN)";"2026-01-09";"2024-08-27";"092451654";
"216";"AI interaction method and system for shopping video of e-commerce independent station";"CHEN GUANG 
WANG XINHAN 
FAN PENG 
JIANG ZHUO";"BEIJING KUAINIU ZHIYING TECH CO LTD";"CN119046530A";"2024-08-07";"G06F16/906 
G06F16/9535 
G06F16/957 
G06N20/00 
G06Q30/0601";"G06F16/906 (CN) 
G06F16/9535 (CN) 
G06F16/957 (CN) 
G06N20/00 (CN) 
G06Q30/0641 (CN)";"2024-11-29";"2024-11-29";"093578938";
"217";"Cross-border e-commerce big data analysis system applied to digital economy";"LIAO XIAOSHUN 
LUO BIN 
LUO SHUMIN";"JINJIANG KUTIAN TRADING CO LTD";"CN118134611A 
CN118134611B";"2024-05-08";"G06Q30/0201 
G06Q30/0601";"G06Q30/0201 (CN) 
G06Q30/0631 (CN) 
G06Q30/0641 (CN) 
Y02D10/00 (EP)";"2024-06-04 
2024-07-09";"2024-06-04";"091240773";
"218";"E-commerce marketing optimization system based on AI";"YU LINYI";"BEIJING SENBO MINGDE MARKETING TECH CO LTD";"CN119379338A";"2024-12-30";"G06F18/213 
G06F18/241 
G06F18/2433 
G06Q10/04 
G06Q30/0201";"G06F18/213 (CN) 
G06F18/241 (CN) 
G06F18/2433 (CN) 
G06Q10/04 (CN) 
G06Q30/0201 (CN)";"2025-01-28";"2025-01-28";"094329199";
"219";"Industrial e-commerce platform based on industrial materials";"ZHONG XIANWEN 
MEI ZIYANG 
QU KUAN 
WU JIA 
ZHONG LIAN";"SICHUAN ENBONA DATA TECH CO LTD";"CN119168747A";"2024-09-20";"G06Q30/0601 
G06Q40/04";"G06Q30/0605 (CN) 
G06Q30/0611 (CN) 
G06Q40/04 (CN) 
Y02P90/30 (EP)";"2024-12-20";"2024-12-20";"093891018";
"220";"METHODS FOR MANAGING VIRTUAL SHOPPING CARTS";"SCANTLEBURY DAVID [CA] 
GO GYO-BIN [CA] 
KOOPFERSTOCK JOSHUA [CA] 
HOUGHTON DAVID-JAMES [CA] 
SECHAN GABRIEL [US]";"SHOPIFY INC [CA]";"US2023410137A1";"2022-06-15";"G06Q30/02 
G06Q30/06";"G06Q30/0211 (EP,US) 
G06Q30/0633 (EP,US)";"2023-12-21";"2023-12-15";"089158701";
"221";"E-commerce data storage platform based on big data analysis";"CHEN YUXIANG 
LIN WEISHENG 
LIN JIAYING 
AN XIAOYU";"SHENZHEN QIAKE TECH CO LTD";"CN116342230A 
CN116342230B";"2023-05-31";"G06F16/215 
G06F16/22 
G06F16/2457 
G06Q30/0201 
G06Q30/0601";"G06F16/215 (CN) 
G06F16/2282 (CN) 
G06F16/2457 (CN) 
G06Q30/0201 (CN) 
G06Q30/0631 (CN) 
Y02D10/00 (EP)";"2023-06-27 
2023-08-08";"2023-06-27";"086880818";
"222";"APPARATUS METHOD AND RECORDING MEDIUM STORING INSTRUCTIONS FOR PERFORMING PERSONALIZED ACTION";"AHN MINKYOUNG 
PARK MANSOO";"GMARKET INC [KR]";"KR20240058254A";"2022-10-26";"G06N20/00 
G06Q30/02";"G06N20/00 (KR) 
G06Q30/0201 (KR) 
G06Q30/0267 (KR) 
G06Q30/0271 (KR) 
G06Q30/0272 (KR)";"2024-05-03";"2024-05-03";"091077558";
"223";"Interactive intelligent shopping cart";"ZHANG JINGYI 
ZHENG HONGMEI 
ZHU XUEWEI 
LU JIAWEI 
YANG LEI 
TIAN YAWEN 
ZHANG CHENHUI";"UNIV HEFEI TECHNOLOGY";"CN217034863U";"2022-03-16";"B62D63/02 
B62D63/04 
G06K17/00 
G07F7/06 
G07G1/00 
G07G1/14 
H04W4/029";"";"2022-07-22";"2022-07-22";"082456105";
"224";"E-commerce order management system";"HONG DENGXIANG";"WUXI GUANYUN INFORMATION TECH CO LTD";"CN117710057A";"2023-12-25";"G06Q10/087 
G06Q30/016 
G06Q30/0601";"G06Q10/087 (CN) 
G06Q30/016 (CN) 
G06Q30/0635 (CN) 
G06Q30/0643 (CN)";"2024-03-15";"2024-03-15";"090163472";
"225";"E-commerce network commodity recommendation method and system";"DU HANGYUAN 
BAI XUE 
BAI LIANG 
WANG WENJIAN";"UNIV SHANXI";"CN115170227A";"2022-06-27";"G06F16/9535 
G06F16/9536 
G06Q30/06";"G06F16/9535 (CN) 
G06F16/9536 (CN) 
G06Q30/0631 (CN)";"2022-10-11";"2022-10-11";"083489472";
"226";"Catering service management system and device based on SAAS platform";"WANG YOUYUN";"QIMAI TECH CO LTD";"CN118134703A 
CN118134703B";"2024-05-06";"G06F18/241 
G06Q10/02 
G06Q10/0631 
G06Q10/10 
G06Q30/0601 
G06Q50/12";"G06F18/241 (CN) 
G06Q10/02 (CN) 
G06Q10/06311 (CN) 
G06Q10/06316 (CN) 
G06Q10/103 (CN) 
G06Q30/0631 (CN) 
G06Q50/12 (CN)";"2024-06-04 
2024-07-30";"2024-06-04";"091238145";
"227";"Intelligent customer service session processing method and device and program product";"";"SHANGHAI I USE TECH CO LTD";"CN119719315A";"2025-02-26";"G06F16/3329 
G06F16/3332 
G06F16/334 
G06N5/04 
G06Q30/015";"G06F16/3329 (CN) 
G06F16/3334 (CN) 
G06F16/3344 (CN) 
G06N5/041 (CN) 
G06Q30/015 (CN) 
Y02D10/00 (EP)";"2025-03-28";"2025-03-28";"095102382";
"228";"Commodity recommendation method and device, electronic equipment and storage medium";"DOU LIXIANG";"AGRICULTURAL BANK CHINA";"CN117611292A";"2023-12-05";"G06Q30/0201 
G06Q30/0601";"G06Q30/0201 (CN) 
G06Q30/0631 (CN)";"2024-02-27";"2024-02-27";"089949729";
"229";"User portrait system of e-commerce re-purchase behavior based on big data";"SONG PEISEN 
CHEN CHEN 
LONG HAO";"YUZHOU INDUSTRIAL OCCUPATIONAL TECH COLLEGE";"CN114511378A";"2022-01-20";"G06K9/62 
G06Q30/02 
G06Q30/06";"G06F18/23 (CN) 
G06F18/24 (CN) 
G06Q30/0201 (CN) 
G06Q30/0631 (CN)";"2022-05-17";"2022-05-17";"081550387";
"230";"E-commerce platform resource promotion system";"LIAO WANJIN";"GUANGDONG HUIQIAO TECH CO LTD";"CN118333711A";"2024-03-21";"G06F18/22 
G06Q30/0241 
G06Q30/0251 
G06Q30/0601";"G06F18/22 (CN) 
G06Q30/0271 (CN) 
G06Q30/0277 (CN) 
G06Q30/0631 (CN)";"2024-07-12";"2024-07-12";"091764913";
"231";"Commodity recommendation method and device for e-commerce platform, and readable storage medium";"WANG CHANG'AN 
SHI BINBIN 
LI QIANG 
YANG FAN 
WU GUANG 
TANG HAO";"CHINA UNICOM 
CHINA UNICOM SHAANXI IND INTERNET CO LTD";"CN120298077A";"2025-04-01";"G06N5/022 
G06N5/04 
G06Q30/0601";"G06N5/022 (CN) 
G06N5/041 (CN) 
G06Q30/0631 (CN)";"2025-07-11";"2025-07-11";"096283464";
"232";"Dynamic multi-objective optimization method and device applied to e-commerce recommendation system";"LI LI 
QI BINCHUAN 
GONG WEI 
XU JIA";"UNIV TONGJI";"CN117010554A 
CN117010554B";"2023-07-03";"G06F30/27 
G06N3/084 
G06Q10/04 
G06Q30/0601 
G06F111/06";"G06F30/27 (CN) 
G06N3/084 (CN) 
G06Q10/04 (CN) 
G06Q30/0601 (CN) 
G06F2111/06 (CN)";"2023-11-07 
2024-06-25";"2023-11-07";"088566418";
"233";"E-commerce platform page display method and electronic equipment";"ZHANG JIAN 
LI YANXIA";"BEIJING GUOLIAN SHIXUN INFORMATION TECH CO LTD";"CN118037386A";"2024-01-15";"G06F18/21 
G06F18/214 
G06F18/243 
G06Q30/0601";"G06F18/21 (CN) 
G06F18/214 (CN) 
G06F18/24323 (CN) 
G06Q30/0631 (CN) 
G06Q30/0643 (CN)";"2024-05-14";"2024-05-14";"090998038";
"234";"SYSTEM AND METHOD FOR FACILITATING E-COMMERCE TRANSACTION USING AN INTERACTIVE SUPPORT AGENT PLATFORM";"SENTHIL KUMAR N [US]";"1CLICKPAY INC [US]";"US11449912B1 
US2022318871A1";"2021-04-06";"G06Q30/04 
G06Q30/06 
G06Q30/00";"G06Q30/04 (EP,US) 
G06Q30/0613 (EP,US) 
G06Q30/0633 (EP,US) 
G06Q30/0603 (EP,US)";"2022-10-06 
2022-09-20";"2022-09-20";"083286480";
"235";"Intelligent operation system of cross-border e-commerce platform";"ZHAO SHENG";"HEBEI VOCATIONAL AND TECHNICAL UNIV OF SCIENCE AND TECHNOLOGY & ENGINEERING";"CN119963295A";"2025-03-31";"G06F18/22 
G06F18/23 
G06Q10/04 
G06Q10/0835 
G06Q10/087 
G06Q30/0601";"Y02D10/00 (EP)";"2025-05-09";"2025-05-09";"095597257";
